PM10,PM2.5,SO2,CO,O3,NO2,PM10_pred,PM2.5_pred,SO2_pred,CO_pred,O3_pred,NO2_pred
12.0,23.0,0.0,8.0,0.0,4.0,13.473986,23.014238,1.3820996,7.920794,1.5467662,4.0772696
12.0,23.0,0.0,7.000000000000001,0.0,4.0,14.050845,22.303114,1.9922181,7.9542866,1.0390452,4.133702
12.0,23.0,0.0,7.000000000000001,0.0,4.0,14.403241,21.847775,2.4675422,8.005808,0.70648193,4.157593
12.0,23.0,0.0,7.000000000000001,0.0,4.0,13.454781,23.042606,1.3594086,7.9260597,1.6568029,4.082637
12.0,23.0,0.0,7.000000000000001,0.0,4.0,14.028997,22.32253,1.9730935,7.963787,1.1748117,4.1391487
12.0,23.0,0.0,7.000000000000001,0.0,4.0,14.378654,21.86391,2.4505963,8.017446,0.85873073,4.163248
12.0,23.0,0.0,7.000000000000001,0.0,4.0,13.232372,22.55083,1.2523007,7.031612,1.4597383,4.0604367
12.0,23.0,0.0,7.000000000000001,0.0,4.0,13.871808,21.866747,1.908695,7.07341,1.0083112,4.1245394
12.0,23.0,0.0,7.000000000000001,0.0,4.0,14.237716,21.400417,2.4029288,7.121809,0.7152708,4.149826
12.0,23.0,0.0,7.000000000000001,0.0,4.0,13.476878,22.902346,1.3410894,6.8271785,1.5291367,4.0958567
12.0,23.0,0.0,7.000000000000001,0.0,4.0,14.236307,22.318281,1.9991336,6.8832,1.1040614,4.1671934
13.0,23.0,0.0,7.000000000000001,0.0,4.0,14.661475,21.906881,2.4970627,6.9374957,0.8235392,4.196275
12.0,23.0,0.0,7.000000000000001,0.0,4.0,13.600494,23.129267,1.4113665,6.8389072,1.6310436,4.132371
13.0,23.0,0.0,7.000000000000001,0.0,4.0,14.385568,22.568789,2.0714235,6.9086194,1.2209468,4.205848
13.0,24.0,0.0,7.000000000000001,0.0,4.0,14.823724,22.17569,2.5734954,6.9713926,0.94782597,4.2367587
13.0,23.0,0.0,7.000000000000001,0.0,4.0,13.623605,23.178944,1.4688176,6.8743815,1.6759957,4.155142
13.0,24.0,0.0,7.000000000000001,0.0,4.0,14.3942175,22.614876,2.1307588,6.9524474,1.2711208,4.229699
13.0,24.0,0.0,7.000000000000001,0.0,4.0,14.8228,22.219536,2.6356537,7.0207195,1.0026437,4.26163
13.0,24.0,0.0,7.000000000000001,0.0,4.0,14.259174,23.564093,1.5470904,6.883265,1.7347873,4.1653757
13.0,24.0,0.0,7.000000000000001,0.0,4.0,15.142181,23.137558,2.2040455,6.972836,1.315356,4.2424498
13.0,24.0,0.0,7.000000000000001,0.0,4.0,15.61678,22.810003,2.712348,7.0467653,1.048277,4.2767015
13.0,24.0,0.0,7.000000000000001,0.0,4.0,14.8743305,24.231207,1.6660428,6.919796,1.8647697,4.1884604
13.0,24.0,0.0,7.000000000000001,0.0,4.0,15.899246,23.943089,2.3181205,7.0310154,1.442178,4.2734084
13.0,24.0,0.0,7.000000000000001,0.0,4.0,16.43615,23.675653,2.823864,7.1129074,1.1730936,4.3115716
13.0,24.0,0.0,7.000000000000001,0.0,4.0,14.894599,24.271511,1.70604,6.9377513,1.8544382,4.203355
13.0,24.0,0.0,7.000000000000001,0.0,4.0,15.889267,23.960215,2.3536174,7.051644,1.42763,4.2890244
13.0,24.0,0.0,7.000000000000001,0.0,4.0,16.406527,23.676434,2.8550782,7.1350193,1.1557043,4.3274417
13.0,24.0,0.0,7.000000000000001,0.0,4.0,14.833393,24.224802,1.7085553,6.9459863,1.8350352,4.2059345
13.0,24.0,0.0,7.000000000000001,0.0,4.0,15.786171,23.878971,2.3544261,7.059685,1.4090239,4.292283
13.0,24.0,0.0,7.000000000000001,0.0,4.0,16.279886,23.575384,2.853857,7.1435056,1.1381931,4.331053
13.0,24.0,0.0,7.000000000000001,0.0,4.0,14.77359,24.191916,1.6949456,6.9476166,1.8268409,4.204439
13.0,24.0,0.0,7.000000000000001,0.0,4.0,15.691815,23.8141,2.3422115,7.0619836,1.4049625,4.2921505
13.0,24.0,0.0,7.000000000000001,0.0,4.0,16.166775,23.49338,2.8424134,7.147087,1.1378382,4.33169
13.0,24.0,0.0,7.000000000000001,0.0,4.0,14.725215,24.178114,1.6712413,6.9502683,1.8307836,4.2008095
13.0,24.0,0.0,7.000000000000001,0.0,4.0,15.606883,23.761124,2.3222597,7.064668,1.4192451,4.289338
13.0,24.0,0.0,7.000000000000001,0.0,4.0,16.06371,23.42202,2.8253798,7.1512127,1.160381,4.3293877
13.0,24.0,0.0,7.000000000000001,0.0,4.0,14.673329,24.205372,1.6644623,6.9474816,1.8208648,4.1970005
13.0,24.0,0.0,7.000000000000001,0.0,4.0,15.542539,23.762762,2.3174987,7.0618877,1.4177572,4.286318
13.0,24.0,0.0,7.000000000000001,0.0,4.0,15.996392,23.412655,2.8216643,7.149215,1.1624666,4.326515
13.0,24.0,0.0,7.000000000000001,0.0,4.0,14.673329,24.205372,1.6644623,6.9474816,1.8208648,4.1970005
13.0,24.0,0.0,7.000000000000001,0.0,4.0,15.542539,23.762762,2.3174987,7.0618877,1.4177572,4.286318
14.000000000000002,24.0,0.0,7.000000000000001,0.0,4.0,15.996392,23.412655,2.8216643,7.149215,1.1624666,4.326515
13.0,24.0,0.0,7.000000000000001,0.0,4.0,14.673329,24.205372,1.6644623,6.9474816,1.8208648,4.1970005
14.000000000000002,24.0,0.0,7.000000000000001,0.0,4.0,15.542539,23.762762,2.3174987,7.0618877,1.4177572,4.286318
14.000000000000002,25.0,0.0,7.000000000000001,0.0,4.0,15.996392,23.412655,2.8216643,7.149215,1.1624666,4.326515
14.000000000000002,24.0,0.0,7.000000000000001,0.0,4.0,14.673329,24.205372,1.6644623,6.9474816,1.8208648,4.1970005
14.000000000000002,25.0,0.0,7.000000000000001,0.0,4.0,15.542539,23.762762,2.3174987,7.0618877,1.4177572,4.286318
